id,rating,product_id,review
1,5,36001,"Absolutely love this product, works perfectly!"
2,1,51101,"Terrible product, stopped working immediately."
3,5,91201,"Fantastic quality, highly recommend it!"
4,1,13401,"Completely useless, do not buy."
5,5,87401,"Exceeded my expectations, will buy again!"
6,1,20501,"Broke after one use, very disappointing."
7,5,93501,"Excellent product, very satisfied with my purchase."
8,1,12301,"Did not work as advertised, very upset."
9,5,50201,"Great value for the money, love it!"
10,1,78401,"Horrible quality, avoid at all costs."
11,5,29301,"Best product ever, highly recommend!"
12,1,69401,"Very disappointed, not worth the money."
13,5,10401,"Perfect for my needs, would buy again."
14,1,85701,"Completely defective, do not buy."
15,5,49701,"Amazing product, exceeds expectations!"
16,1,68201,"Very low quality, broke instantly."
17,5,39501,"Absolutely fantastic, worth every penny!"
18,1,71301,"Waste of money, very poor quality."
19,5,84101,"Incredible product, very satisfied!"
20,1,37601,"Do not waste your time or money."
21,5,42701,"Love this product, works great!"
22,1,93201,"Very unhappy with this purchase."
23,5,98201,"Fantastic product, highly recommend!"
24,1,41201,"Terrible, did not work as promised."
25,5,83501,"Great product, works perfectly!"
26,1,94201,"Very disappointed, broke quickly."
27,5,39101,"Excellent quality, will buy again!"
28,1,87101,"Did not meet my expectations, very poor."
29,5,28701,"Superb product, love using it!"
30,1,67201,"Broke on first use, very unhappy."
31,5,10501,"Absolutely the best, worth every cent!"
32,1,39601,"Completely useless, very disappointed."
33,5,51401,"Incredible quality, I am very happy!"
34,1,28401,"Waste of money, do not buy."
35,5,78601,"Very pleased with this purchase, highly recommend!"
36,1,93201,"Not as described, very unhappy."
37,5,12401,"Best purchase of the year, love it!"
38,1,56201,"Completely defective, avoid!"
39,5,79501,"Excellent product, works flawlessly!"
40,1,81401,"Broke after one use, very disappointed."
41,5,25701,"Great product, highly recommend!"
42,1,39501,"Terrible quality, not worth it."
43,5,92401,"Amazing! Works better than expected!"
44,1,32801,"Very low quality, do not buy."
45,5,68401,"Love this product, will buy again!"
46,1,79201,"Very unhappy, do not recommend."
47,5,43601,"Fantastic product, highly recommended!"
48,1,27301,"Completely useless, waste of money."
49,5,56901,"Great value for money, very happy!"
50,1,21401,"Disappointing quality, do not buy."
51,5,45701,"Excellent, very satisfied with my purchase!"
52,1,68301,"Not worth the price, very disappointed."
53,5,53201,"Absolutely fantastic, would buy again!"
54,1,76301,"Very poor quality, broke immediately."
55,5,81201,"Love it! Works just as described."
56,1,53101,"Terrible, do not buy this product."
57,5,65401,"Amazing product, exceeded my expectations!"
58,1,54301,"Very disappointed, not as described."
59,5,12501,"Fantastic! I am very happy with this purchase."
60,1,65201,"Waste of time and money, do not buy."
61,5,98001,"Great quality and value, highly recommend!"
62,1,49301,"Broke within days, very unhappy."
63,5,37601,"Best purchase ever, will buy again!"
64,1,25901,"Very poor, not worth the price."
65,5,87401,"Incredible! Very satisfied with my purchase."
66,1,64801,"Completely defective, very disappointed."
67,5,51301,"Awesome product, very high quality!"
68,1,42001,"Disappointing, do not waste your money."
69,5,89101,"Love it! Works just like advertised."
70,1,36701,"Not worth it, very poor quality."
71,2,36059,"Not great, but it gets the job done."
72,3,51176,"Average product, nothing special."
73,4,91259,"Good quality, met my expectations."
74,2,13454,"Disappointing, expected better performance."
75,3,87465,"Decent, but I wouldn’t buy it again."
76,4,20565,"Very nice product, works well for me."
77,2,93525,"It’s okay, but not worth the price."
78,3,12304,"Satisfactory, but had some issues."
79,4,11456,"Really good, I would recommend it."
80,2,78901,"Not what I expected, lacking quality."
81,3,45678,"Fairly good, but could use some improvements."
82,4,23456,"Pretty solid product overall, happy with it."
83,2,98765,"Not impressed, I would not recommend."
84,3,54321,"It’s just okay, I’ve seen better."
85,4,67890,"Very satisfying experience, would buy again."
86,2,11111,"Could be improved, not worth the hype."
87,3,22222,"It’s acceptable, but not exceptional."
88,4,33333,"Nice product, performed as expected."
89,2,44444,"Not really worth the money I spent."
90,3,55555,"Okay quality, but I expected more."
91,4,66666,"Great product, very happy with my purchase."
92,2,77777,"Subpar quality, wouldn’t buy again."
93,3,88888,"A decent option, but could use improvements."
94,4,99999,"Really good product, highly recommend it."
95,1,36060,"Terrible product, completely useless."
96,1,36061,"Not worth the money. Very disappointed."
97,2,36062,"It works, but has several issues."
98,2,36063,"Just okay, didn't meet my expectations."
99,3,36064,"Decent quality, but could be better."
100,3,36065,"Satisfactory, but nothing impressive."
101,4,36066,"Good product, I am generally satisfied."
102,4,36067,"Very good! Worth the price."
103,5,36068,"Excellent product! Highly recommend it."
104,5,36069,"Amazing! Exceeded all my expectations."
105,5,36070,"Best purchase I've made this year!"
106,4,36071,"Really happy with this purchase, works great."
107,3,36072,"It's alright, does the job but lacks some features."
108,2,36073,"Could be better. Not the best quality."
109,1,36074,"Very poor quality. Do not recommend."
110,2,36075,"Has potential, but needs improvements."
111,3,36076,"Not bad, but I've seen better."
112,4,36077,"Pretty good! Would buy again."
113,5,36078,"Absolutely love it! Works perfectly."
114,1,36079,"Very dissatisfied. It broke after one use."
115,3,36080,"Average performance, okay for the price."
116,1,36081,"Worst experience ever, not recommended."
117,1,36082,"Did not match the description at all."
118,2,36083,"Somewhat better than expected, but still lacking."
119,2,36084,"Could use some improvements, not very durable."
120,3,36085,"Fairly decent, but has some flaws."
121,3,36086,"Meets my needs, but there are better options."
122,4,36087,"Solid product, would recommend to others."
123,4,36088,"Good quality and value for money."
124,5,36089,"Fantastic! Will definitely purchase again."
125,5,36090,"Absolutely perfect! I am very happy with my purchase."
126,5,36091,"Exceeded my expectations in every way!"
127,4,36092,"Great product! Works just as described."
128,3,36093,"Okay for the price, but not my favorite."
129,2,36094,"Had some issues, but the support was helpful."
130,1,36095,"Terrible, it broke before I even used it."
131,3,36096,"Good enough, but I expected more."
132,4,36097,"Very reliable, does what it needs to do."
133,5,36098,"Love it! Will recommend to my friends."
134,1,36099,"Awful experience. Will not buy again."
135,3,36100,"Not bad, but I wouldn't buy it again."
136,1,36101,"Disappointing quality, not worth the price."
137,1,36102,"Completely unusable, very unhappy with this purchase."
138,2,36103,"Could be better, but it works for now."
139,2,36104,"Not impressed, expected more based on the reviews."
140,3,36105,"Decent product, but nothing special."
141,3,36106,"Average experience, might consider alternatives."
142,4,36107,"Very good product for the price!"
143,4,36108,"Impressed with the performance, will buy again."
144,5,36109,"Best purchase I made this year, highly recommend!"
145,5,36110,"This product exceeded my expectations!"
146,5,36111,"Absolutely love it! Worth every penny."
147,4,36112,"Good product overall, a few minor issues."
148,3,36113,"Satisfactory, but I have seen better."
149,2,36114,"Not what I expected, somewhat let down."
150,1,36115,"Very poor quality, would not recommend."
151,3,36116,"It works, but there are better options out there."
152,4,36117,"Great for everyday use, no complaints."
153,5,36118,"Incredible! I will buy again for sure."
154,1,36119,"Utterly disappointing, not what I expected."
155,3,36120,"Serviceable, but I wouldn't go out of my way to get it."
156,2,36121,"Not as good as I hoped, but it serves its purpose."
157,3,36122,"Mediocre product, but decent for the price."
158,1,36123,"Really bad experience, won’t buy again."
159,4,36124,"Very happy with this purchase, it works well."
160,5,36125,"Absolutely fantastic! I can't recommend it enough."
161,2,36126,"It’s okay, but I’ve had better."
162,3,36127,"Just average, nothing to write home about."
163,4,36128,"Great value for the price, happy with my purchase."
164,5,36129,"Top-notch quality, I am very impressed!"
165,1,36130,"This product is a scam, do not buy."
166,3,36131,"It does the job, but I expected more."
167,4,36132,"Really good product, worth the money."
168,2,36133,"Had issues with it, but customer service was helpful."
